Nama Perguruan Tinggi,Jumlah Mahasiswa,Jumlah Dosen,Jumlah Program Studi,Fasilitas Olahraga,Wisma/Asrama/Hotel,Teknologi Informasi,Public Area,PERS Mahasiswa,Asuransi,Gedung Pertemuan,Laboratorium,Poliklinik,Bus Kampus,Kalender Pendidikan,Pusat Pelatihan Bahasa,Perpustakaan,Sarana Ibadah,Free Hotspot,Jumlah Fasilitas,Bus Umum,Restaurant,Tempat Ibadah,Kos/Asrama,Terminal Bus,Café,Tempat Olahraga,Bandara,Mall,Rumah Sakit,Stasiun Kereta,Supermarket,Apotek,Jumlah Tempat Umum Terdekat,Akreditasi,Ranking Nasional
Universitas Islam Indonesia,0.844830567,0.469816273,0.705882353,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.000571265
Universitas Ahmad Dahlan,0.495476026,0.38407699,0.588235294,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.909090909,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.001999429
Universitas Muhammadiyah Yogyakarta,0.74173006,0.408573928,0.485294118,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.909090909,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.002285061
Universitas Atma Jaya Yogyakarta,0.31964615,0.265966754,0.220588235,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0.909090909,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.007997715
Universitas Sanata Dharma,0.308754034,0.289588801,0.573529412,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0.909090909,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.008283348
Universitas Kristen Duta Wacana,0.115087598,0.132108486,0.220588235,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0.636363636,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.010854042
Institut Sains Dan Teknologi Akprind,0.124221992,0.094488189,0.176470588,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0.909090909,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.018280491
Universitas AMIKOM Yogyakarta,0.025242047,0.265091864,0.220588235,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0.636363636,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.018566124
Universitas Mercu Buana Yogyakarta,0.111745044,0.092738408,0.205882353,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.666666667,0.02456441
Universitas Sarjanawiyata Tamansiswa,0.278757492,0.171478565,0.367647059,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.909090909,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.028563268
Universitas Respati Yogyakarta,0.141165284,0.163604549,0.205882353,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0.727272727,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0.033419023
Universitas Teknologi Yogyakarta,0.055036883,0.192475941,0.323529412,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0.363636364,1,1,0,1,1,1,1,1,1,1,0,1,1,0.888888889,0.333333333,0.037703513
Universitas PGRI Yogyakarta,0.149953896,0.092738408,0.220588235,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.666666667,0.045415596
STMIK Akakom,0.071778469,0.05424322,0.058823529,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.666666667,0.047700657
